"","1","1 .p","2","2 .p","3","3 .p","4","4 .p","5","5 .p","6","6 .p","7","7 .p","8","8 .p","9","9 .p","10","10 .p"
"1. mpg","","","","","","","","","","","","","","","","","","","",""
"2. cyl","-0.85","***","","","","","","","","","","","","","","","","","",""
"3. disp","-0.85","***","0.9","***","","","","","","","","","","","","","","","",""
"4. hp","-0.78","***","0.83","***","0.79","***","","","","","","","","","","","","","",""
"5. drat","0.68","***","-0.7","***","-0.71","***","-0.45","**","","","","","","","","","","","",""
"6. wt","-0.87","***","0.78","***","0.89","***","0.66","***","-0.71","***","","","","","","","","","",""
"7. qsec","0.42","*","-0.59","***","-0.43","*","-0.71","***","0.09","","-0.17","","","","","","","","",""
"8. vs","0.66","***","-0.81","***","-0.71","***","-0.72","***","0.44","*","-0.55","***","0.74","***","","","","","",""
"9. am","0.6","***","-0.52","**","-0.59","***","-0.24","","0.71","***","-0.69","***","-0.23","","0.17","","","","",""
"10. gear","0.48","**","-0.49","**","-0.56","***","-0.13","","0.7","***","-0.58","***","-0.21","","0.21","","0.79","***","",""
"11. carb","-0.55","**","0.53","**","0.39","*","0.75","***","-0.09","","0.43","*","-0.66","***","-0.57","***","0.06","","0.27",""
